tempo,direita,esquerda
758,33.739,33.96
759,33.659,33.983
760,33.711,34.026
761,33.716,33.979
762,33.65,33.936
763,33.706,33.918
764,33.749,33.96
765,33.739,34.002
766,33.744,33.875
767,33.814,33.904
768,33.829,34.002
769,33.725,34.068
770,33.782,34.063
771,33.777,34.049
772,33.852,34.04
773,33.777,33.875
774,33.829,34.021
775,33.716,33.997
776,33.735,33.969
777,33.697,34.026
778,33.753,34.021
779,33.73,34.049
780,33.767,33.955
781,33.772,33.969
782,33.73,33.979
783,33.739,34.072
784,33.73,34.03
785,33.739,33.993
786,33.782,33.969
787,33.758,33.922
788,33.782,33.932
789,33.735,33.997
790,33.735,34.054
791,33.739,33.904
792,33.829,33.936
793,33.688,33.955
794,33.791,33.993
795,33.749,34.016
796,33.725,34.021
797,33.796,34.021
798,33.805,34.011
799,33.744,33.941
800,33.753,33.866
801,33.782,33.932
802,33.744,33.908
803,33.688,34.035
804,33.664,34.007
805,33.673,33.861
806,33.678,33.918
807,33.617,33.918
808,33.622,33.946
809,33.688,33.913
810,33.664,33.918
811,33.72,33.988
812,33.692,33.89
813,33.622,33.997
814,33.622,33.983
815,33.636,33.918
816,33.594,33.922
817,33.673,33.885
818,33.612,33.857
819,33.589,33.805
820,33.598,33.908
821,33.65,33.885
822,33.612,33.829
823,33.603,33.819
824,33.683,33.941
825,33.669,33.89
826,33.706,33.936
827,33.565,33.965
828,33.603,33.932
829,33.641,33.904
830,33.645,33.866
831,33.546,33.955
832,33.631,33.932
833,33.641,33.988
834,33.65,33.993
835,33.669,34.049
836,33.617,33.988
837,33.673,33.965
838,33.664,33.866
839,33.579,33.8
840,33.655,33.969
841,33.626,33.786
842,33.641,33.946
843,33.716,33.875
844,33.683,33.894
845,33.612,33.894
846,33.598,33.89
847,33.65,33.951
848,33.636,33.908
849,33.561,33.913
850,33.763,33.941
851,33.697,33.805
852,33.631,33.936
853,33.584,33.927
854,33.603,34.011
855,33.589,33.979
856,33.608,33.941
857,33.669,33.857
858,33.683,33.852
859,33.711,34.03
860,33.791,34.021
861,33.786,34.054
862,33.772,34.026
863,33.767,34.002
864,33.735,33.988
865,33.697,33.965
866,33.739,33.979
867,33.669,33.974
868,33.669,33.899
869,33.65,34.002
870,33.688,33.969
871,33.725,34.021
872,33.725,34.068
873,33.753,33.951
874,33.669,33.965
875,33.702,33.941
876,33.716,33.96
877,33.716,34.021
878,33.735,34.011
879,33.81,33.932
880,33.716,33.946
881,33.65,33.965
882,33.617,34.044
883,33.702,34.03
884,33.673,34.021
885,33.702,33.969
886,33.608,33.936
887,33.702,33.951
888,33.829,34.016
889,33.678,33.913
890,33.673,33.871
891,33.725,33.875
892,33.702,33.904
893,33.678,33.918
894,33.786,33.979
895,33.683,33.927
896,33.678,33.988
897,33.669,33.983
898,33.673,33.951
899,33.631,33.913
900,33.711,33.922
901,33.753,33.946
902,33.697,33.922
903,33.706,33.951
904,33.725,33.89
905,33.655,33.941
906,33.796,33.96
907,33.777,33.946
908,33.669,33.965
909,33.711,33.988
910,33.678,33.946
911,33.556,33.988
912,33.57,34.007
913,33.669,34.007
914,33.706,34.021
915,33.645,34.002
916,33.673,33.899
917,33.664,33.843
918,33.641,33.913
919,33.598,33.857
920,33.692,33.843
921,33.725,33.913
922,33.65,33.936
923,33.739,33.951
924,33.711,33.955
925,33.744,33.951
926,33.678,33.885
927,33.683,33.974
928,33.72,33.941
